state,x,y
Andhra Pradesh,-88,-147
Arunachal Pradesh,188,170
Assam,178,115
Bihar,48,95
Chhattisgarh,-31,-30
Goa,-190,-151
Gujarat,-239,36
Haryana,-136,155
Himachal Pradesh,-110,230
Jammu&Kashmir,-160,288
Jharkhand,27,45
Karnataka,-160,-170
Kerala,-154,-262
Madhya Pradesh,-119,35
Maharashtra,-163,-34
Manipur,230,80
Meghalaya,145,80
Mizoram,207,35
Nagaland,243,110
Odisha,30,-10
Punjab,-148,204
Rajasthan,-214,112
Sikkim,105,137
Tamil Nadu,-109,-235
Telangana,-91,-88
Tripura,151,40
Uttar Pradesh,-84,120
Uttarakhand,-78,193
West Bengal,94,29
